प्रसिद्ध,Famous
चेहरे,Faces
के,Of
साथ,with
भरा,full
विचित्र,Weird
हॉरर,Horror
फिल्म,film
लेकिन,but
क्रिस्टीना,Christina
वर्षा,The rain
द्वारा,by
चोरी,theft
(,(
टीवी,TV
``,``
रोड,road
'',''
बाद,after
),)
एक,One
चिपचिपा,Sticky
मुस्कान,smile
सुंदर,beautiful
कुछ,some
अस्थिर,Unsteady
मॉडल,The model
रूप,form
में,In
जो,that
नरक,hell
लिए,for
की,Of
उसके,his
प्रयास,Effort
आत्महत्या,Suicide
भुगतान,the payment
करने,To do
निर्धारित,laid down
है,is
!,!
बारिश,rain
मॉडलिंग,Modeling
परदे,The curtain
पर,On
बहुत,very
अच्छी,good
तरह,Kind
से,From
कब्जा,Capture
कर,Tax
रहे,are
हैं,Are there
",",""","""
मूड,Mood
संगीत,music
परिपूर्ण,Perfect
दबोरा,Deborah
पाल,Sail
आकर्षक,Attractive
जब,when
डरावना,Scary
ब्रुकलिन,Brooklyn
हाइट्स,Heights
चालें,Tricks
शीर्ष,Top
मंजिल,Floor
अंधा,Blind
पुजारी,Priest
का,Of
निवास,the residence
बातें,The things
सच,truth
खाना,food
पकाने,Cook
शुरू,To start
.,.
शानदार,Amazing
दुष्ट,The evil
और,And
गांठदार,Kinky
जोड़ी,pair
मील,Miles
&,&
बेवर्ली,Beverly
सहित,With
पड़ोसियों,Neighbors
शैतानी,Diabolism
चतुर,Clever
पुलिस,police
जासूस,Spy
मज़ा,The fun
।,.
लगभग,Around
पार,The cross
दौनी,Rosemary
बेबी,baby
ओझा,Exorcist
क्या,what
संयोजन,Combination
Jeffrey,Jeffrey
सर्वश्रेष्ठ,the best
विक्रेता,The seller
आधार,base
मनोरंजक,Entertaining
झटके,Shock
निर्देशक,the director
माइकल,Michael
विजेता,the winner
सोच,Thought
कौशल,skill
समाप्त,End
downbeat,downbeat
माउंट,The mount
लाया,Brought
1/2,1/2
*,*
ठोस,Solid
अगर,if
असाधारण,Extraordinary
Matthau,Matthau
आइंस्टीन,Einstein
अद्भुत,wonderful
था,Was
मेरा,my
पसंदीदा,the favorite
हिस्सा,Part
केवल,In college
चीज,thing
कि,That
मुझे,me
मेरे,my
रास्ते,The way
बाहर,outside
जाने,Know
यह,this
फिर,Again
देखना,To see
होगा,Will happen
खेल,sport
भौतिक,Physical
दृश्य,View
मैं,I
स्वेटर,Sweater
वार्तालाप,Conversations
प्यार,love
करता,Does
जबकि,whereas
वे,They
रॉबिंस,Robbins
इंतजार,waiting
पक्षी,The bird
पुनः,Again
प्राप्त,get
अजीब,strange
लग,Feeling
रहा,Stayed
माता,mother
पिता,husband
उनके,Their
बच्चों,The children
कब्जे,Occupation
थियेटर,Theater
अकेले,Alone
बैठ,Sit down
टिकट,Ticket
बजाय,Instead
महसूस,Feel
किया,Did
सदस्यता,Membership
दिया,Gave
जाना,go
चाहिए,needed
<,<
br/,br /
>,>
थॉमस,Thomas
Rockwell,Rockwell
संमान,Honor
किताब,book
आधारित,Based
कैसे,how
तला,The pool
हुआ,Happened
कीड़े,Insects
खाने,Food
किसी,Any
भी,as well
कहानी,story
होता,Happen
:,:
नए,new
शहर,city
ले,Take
नया,new
बच्चा,child
बिली,Billy
बार,times
लोकप्रिय,Popular
सिरे,Ends
दोस्त,friend
बनाना,Make
आसान,easy
नहीं,No
खासकर,Especially
संभावना,Chance
एडम,Adam
या,Or
एरिका,Erica
4,4
विशाल,Vishal
आगे,ahead
उसकी,Her
चेहरा,Face
बिना,without
आस्तीन,Sleeve
शर्ट,Shirt
कठिन,Hard
वह,She
मौत,The death
अंगूठी,ring
तुंहें,You
मारने,To kill
आप,you
इसके,Its
तुरंत,Immediately
जहर,poison
आठ,Eight
ग्रेड,Grade
मारता,Kills
दिलाता,Drain
बुराई,evil
अपनी,mine
स्वागत,welcome
अपने,Ours
मुट्ठी,Fist
तस्करी,Smuggling
खोज,Search
अच्छा,good
कसम,promise
खाता,Account
हर,every
समय,time
खाती,Accounts
निभाता,Plays
तो,so
उंहें,Nights
फेंकता,Throws
जीतने,To win
अनिच्छा,Unwillingness
दांव,Bets
10,10
खा,Eat
सकते,Can
हुई,Hui
उबला,Boiled
गर्म,Warm
कुचल,Crushed
मक्खन,Butter
सैंडविच,Sandwich
फैल,Spread
गया,Gaya
प्रत्येक,Everyone
भोजन,food
कीचड़,Mud
खुशी,Joy
विदेशी,foreigner
नाम,Name
करार,Agreement
जिसमें,In which
अंत,the ending
जीवित,Living
जीव,creatures
सपने,Dreams
को,To
रहते,Live
कभी,sometimes
मुझसे,with me
मिले,meet
आपको,you
पता,Address
चल,Walk
जाएगा,Will go
बेकाबू,Uncontrollable
दिल,heart
हंसी,Laugh
आती,Come on
रोना,crying
डिल,Dill
डिक,Dick
दर्द,Pain
हुए,Happened
उभर,Emerge
घृणित,Disgusting
जी,Live
रेटेड,Rated
ब्रदर्स,Brothers
दोनों,Both
रमणीय,Delightful
बॉब,Bob
प्रेमी,the lover
बढ़ाने,Increase
7,7
तक,till
सेवन,Intake
करना,do
अलावा,In addition
अंधेरे,Dark
रहस्य,mystery
रखती,Hold
अति,Over
संवेदनशील,Sensitive
पेट,stomach
नजरिए,Attitudes
गहरी,Deep
समझ,understand
ऐसी,Such
सटीकता,Accuracy
सांसारिक,Worldly
अतिशयोक्ति,Exaggeration
प्रवृत्ति,Trend
छोड़ता,Leaves
इस,this
वाले,Ones
थे,Were
जिस,Which
बच्चे,children
करते,do
देखेंगे,will see
युद्ध,War
बारे,About
अनिवार्य,mandatory
स्वतंत्रता,Freedom
सेनानी,Fighter
युद्धों,Wars
लड़कों,The boys
उपयोग,Use
करें,Do
मूल्यवान,Valuable
सबक,lesson
सीखने,Learning
अंतरराष्ट्रीय,International
नेताओं,Leaders
बात,talk
दो,two
ग्लोबल,Global
शांति,Om Shanti Om
सीख,Learning
मिली,Found
पीछे,behind
मां,Mother
दूसरे,Others
देखा,saw
सहमत,Agree
बेहतरीन,The best
थी,was
महान,great
अब,Now
वैध,Valid
तुम,you
शायद,Maybe
सब,All
पहले,first
ही,Only
5,5
अतिरिक्त,Apart from
एपिसोड,Episode
प्रसारित,Aired
वर्षों,Years
संभवतः,Possibly
शो,Show
जा,Go
सकता,can
अपराध,crime
खूबसूरती,The beauty
लिखा,Written
अभिनय,acting
रद्द,Canceled
अभिनेताओं,the actors
लौरा,Laura
कण,Particle
कार्लोस,Carlos
मॅई,Mae
Damian,Damian
स्टीवन,Steven
अविश्वसनीय,beyond belief
उन,Those
भूमिकाओं,Roles
स्वाभाविक,Natural
यहां,Here
इतना,this much
दुख,Sadness
चला,walked
बेशक,for sure
कारणों,The reasons
कोई,someone
रास्ता,way
विश्वास,believe
सुश्री,Ms.
गर्भावस्था,Pregnancy
हूं,I am
बाजार,market
सही,right
स्लॉट,Slot
सभी,All
आशा,hope
दिन,day
डीवीडी,DVD
आ,come
जाओ,Go
पढ़ने,Reading
धंयवाद,Thank you
मैंने,I
बड़े,Large
देखी,Seen
हालांकि,although
Shrek,Shrek
चालाक,clever
सोचा,Think
बल्कि,Rather
थिएटर,Theater
ब्रेक,Brake
वहां,There
आवाज,Voice
पसंद,like
आया,He Came
वहाँ,there
माता-पिता,mother-father
लगे,Engaged
अक्षर,Letter
स्पष्ट,clear
उचित,Suitable
टिप्पणियों,Comments
उंमीद,Ummed
लोगों,The people
एहसास,feeling
बनाया,Created
जैसे,like
सफल,Successful
व्यक्तिगत,Personal
IMDb,IMDb
आपने,you
फिल्मों,The movies
मोटे,fatty
वोट,Vote
दिए,Given
वजह,Reason
५०,50
सेकंड,Seconds
दुनिया,world
होती,Was
इसे,him
दस,ten
?,?
सात,Seven
...,...
वास्तव,Reality
पहली,First
बेहतर,Better
हो,Ho
